date_new,well_ft
2007-10-01-00,1.378
2007-10-01-01,1.378
2007-10-01-02,1.388
2007-10-01-03,1.388
2007-10-01-04,1.408
2007-10-01-05,1.418
2007-10-01-06,1.448
2007-10-01-07,1.498
2007-10-01-08,1.528
2007-10-01-09,1.598
2007-10-01-11,1.668
2007-10-01-12,1.708
2007-10-01-13,1.818
2007-10-01-14,1.878
2007-10-01-15,1.938
2007-10-01-16,1.988
2007-10-01-17,2.038
2007-10-01-18,2.088
2007-10-01-19,2.128
2007-10-01-20,2.178
2007-10-01-21,2.208
2007-10-01-22,2.228
2007-10-01-23,2.258
2007-10-02-00,2.278
2007-10-02-01,2.298
2007-10-02-02,2.308
2007-10-02-03,2.328
2007-10-02-04,2.348
2007-10-02-05,2.368
2007-10-02-06,2.378
2007-10-02-07,2.398
2007-10-02-08,2.408
2007-10-02-09,2.408
2007-10-02-10,2.418
2007-10-02-11,2.418
2007-10-02-12,2.418
2007-10-02-13,2.418
2007-10-02-14,2.418
2007-10-02-15,2.418
2007-10-02-16,2.418
2007-10-02-17,2.418
2007-10-02-18,2.418
2007-10-02-19,2.418
2007-10-02-20,2.418
2007-10-02-21,2.418
2007-10-02-22,2.418
2007-10-02-23,2.408
2007-10-03-00,2.398
2007-10-03-01,2.388
2007-10-03-02,2.378
2007-10-03-03,2.368
2007-10-03-04,2.358
2007-10-03-05,2.358
2007-10-03-06,2.348
2007-10-03-07,2.338
2007-10-03-08,2.338
2007-10-03-09,2.338
2007-10-03-10,2.328
2007-10-03-11,2.318
2007-10-03-12,2.298
2007-10-03-13,2.278
2007-10-03-14,2.268
2007-10-03-15,2.248
2007-10-03-16,2.238
2007-10-03-17,2.218
2007-10-03-18,2.218
2007-10-03-19,2.208
2007-10-03-20,2.198
2007-10-03-21,2.188
2007-10-03-22,2.178
2007-10-03-23,2.178
2007-10-04-00,2.158
2007-10-04-01,2.158
2007-10-04-02,2.138
2007-10-04-03,2.128
2007-10-04-04,2.108
2007-10-04-05,2.098
2007-10-04-06,2.078
2007-10-04-07,2.058
2007-10-04-08,2.058
2007-10-04-09,2.038
2007-10-04-10,2.038
2007-10-04-11,2.018
2007-10-04-12,2.008
2007-10-04-13,1.998
2007-10-04-14,1.988
2007-10-04-15,1.978
2007-10-04-16,1.978
2007-10-04-17,1.968
2007-10-04-18,1.958
2007-10-04-19,1.948
2007-10-04-20,1.948
2007-10-04-21,1.938
2007-10-04-22,1.938
2007-10-04-23,1.928
2007-10-05-00,1.918
2007-10-05-01,1.898
2007-10-05-02,1.878
2007-10-05-03,1.878
2007-10-05-04,1.858
2007-10-05-05,1.848
2007-10-05-06,1.838
2007-10-05-07,1.828
2007-10-05-08,1.818
2007-10-05-09,1.818
2007-10-05-10,1.818
2007-10-05-11,1.808
2007-10-05-12,1.798
2007-10-05-13,1.788
2007-10-05-14,1.778
2007-10-05-15,1.768
2007-10-05-16,1.748
2007-10-05-17,1.738
2007-10-05-18,1.728
2007-10-05-19,1.718
2007-10-05-20,1.718
2007-10-05-21,1.708
2007-10-05-22,1.708
2007-10-05-23,1.708
2007-10-06-00,1.698
2007-10-06-01,1.698
2007-10-06-02,1.698
2007-10-06-03,1.688
2007-10-06-04,1.678
2007-10-06-05,1.678
2007-10-06-06,1.668
2007-10-06-07,1.658
2007-10-06-08,1.648
2007-10-06-09,1.648
2007-10-06-10,1.648
2007-10-06-11,1.638
2007-10-06-12,1.638
2007-10-06-13,1.638
2007-10-06-14,1.628
2007-10-06-15,1.618
2007-10-06-16,1.618
2007-10-06-17,1.608
2007-10-06-18,1.598
2007-10-06-19,1.578
2007-10-06-20,1.578
2007-10-06-21,1.568
2007-10-06-22,1.568
2007-10-06-23,1.568
2007-10-07-00,1.568
2007-10-07-01,1.558
2007-10-07-02,1.558
2007-10-07-03,1.548
2007-10-07-04,1.538
2007-10-07-05,1.528
2007-10-07-06,1.518
2007-10-07-07,1.488
2007-10-07-08,1.488
2007-10-07-09,1.478
2007-10-07-10,1.458
2007-10-07-11,1.458
2007-10-07-12,1.458
2007-10-07-13,1.458
2007-10-07-14,1.448
2007-10-07-15,1.448
2007-10-07-16,1.438
2007-10-07-17,1.428
2007-10-07-18,1.428
2007-10-07-19,1.418
2007-10-07-20,1.408
2007-10-07-21,1.408
2007-10-07-22,1.398
2007-10-07-23,1.398
2007-10-08-00,1.398
2007-10-08-01,1.398
2007-10-08-02,1.398
2007-10-08-03,1.388
2007-10-08-04,1.388
2007-10-08-05,1.388
2007-10-08-06,1.378
2007-10-08-07,1.368
2007-10-08-08,1.368
2007-10-08-09,1.348
2007-10-08-10,1.348
2007-10-08-11,1.348
2007-10-08-12,1.338
2007-10-08-13,1.338
2007-10-08-14,1.338
2007-10-08-15,1.338
2007-10-08-16,1.338
2007-10-08-17,1.328
2007-10-08-18,1.318
2007-10-08-19,1.318
2007-10-08-20,1.308
2007-10-08-21,1.308
2007-10-08-22,1.298
2007-10-08-23,1.298
2007-10-09-00,1.298
2007-10-09-01,1.298
2007-10-09-02,1.298
2007-10-09-03,1.278
2007-10-09-04,1.268
2007-10-09-05,1.258
2007-10-09-06,1.238
2007-10-09-07,1.228
2007-10-09-08,1.218
2007-10-09-09,1.208
2007-10-09-10,1.198
2007-10-09-11,1.198
2007-10-09-12,1.188
2007-10-09-13,1.188
2007-10-09-14,1.188
2007-10-09-15,1.178
2007-10-09-16,1.178
2007-10-09-17,1.178
2007-10-09-18,1.178
2007-10-09-19,1.178
2007-10-09-20,1.178
2007-10-09-21,1.178
2007-10-09-22,1.178
2007-10-09-23,1.178
2007-10-10-00,1.178
2007-10-10-01,1.178
2007-10-10-02,1.178
2007-10-10-03,1.178
2007-10-10-04,1.178
2007-10-10-05,1.158
2007-10-10-06,1.148
2007-10-10-07,1.138
2007-10-10-08,1.128
2007-10-10-09,1.118
2007-10-10-10,1.098
2007-10-10-11,1.098
2007-10-10-12,1.088
2007-10-10-13,1.078
2007-10-10-14,1.078
2007-10-10-15,1.078
2007-10-10-16,1.078
2007-10-10-17,1.078
2007-10-10-18,1.078
2007-10-10-19,1.078
2007-10-10-20,1.078
2007-10-10-21,1.068
2007-10-10-22,1.068
2007-10-10-23,1.068
2007-10-11-00,1.068
2007-10-11-01,1.068
2007-10-11-02,1.068
2007-10-11-03,1.068
2007-10-11-04,1.068
2007-10-11-05,1.068
2007-10-11-06,1.068
2007-10-11-07,1.058
2007-10-11-08,1.058
2007-10-11-09,1.058
2007-10-11-10,1.058
2007-10-11-11,1.048
2007-10-11-12,1.048
2007-10-11-13,1.038
2007-10-11-14,1.038
2007-10-11-15,1.038
2007-10-11-16,1.038
2007-10-11-17,1.038
2007-10-11-18,1.038
2007-10-11-19,1.028
2007-10-11-20,1.028
2007-10-11-21,1.028
2007-10-11-22,1.028
2007-10-11-23,1.028
2007-10-12-00,1.028
2007-10-12-01,1.028
2007-10-12-02,1.028
2007-10-12-03,1.028
2007-10-12-04,1.028
2007-10-12-05,1.028
2007-10-12-06,1.038
2007-10-12-07,1.038
2007-10-12-08,1.038
2007-10-12-09,1.038
2007-10-12-10,1.038
2007-10-12-11,1.038
2007-10-12-12,1.038
2007-10-12-13,1.038
2007-10-12-14,1.048
2007-10-12-15,1.048
2007-10-12-16,1.048
2007-10-12-17,1.048
2007-10-12-18,1.048
2007-10-12-19,1.048
2007-10-12-20,1.048
2007-10-12-21,1.048
2007-10-12-22,1.048
2007-10-12-23,1.058
2007-10-13-00,1.058
2007-10-13-01,1.058
2007-10-13-02,1.058
2007-10-13-03,1.058
2007-10-13-04,1.058
2007-10-13-05,1.058
2007-10-13-06,1.058
2007-10-13-07,1.058
2007-10-13-08,1.058
2007-10-13-09,1.058
2007-10-13-10,1.058
2007-10-13-11,1.058
2007-10-13-12,1.058
2007-10-13-13,1.058
2007-10-13-14,1.058
2007-10-13-15,1.068
2007-10-13-16,1.068
2007-10-13-17,1.068
2007-10-13-18,1.068
2007-10-13-19,1.068
2007-10-13-20,1.068
2007-10-13-21,1.078
2007-10-13-22,1.078
2007-10-13-23,1.078
2007-10-14-00,1.078
2007-10-14-01,1.078
2007-10-14-02,1.078
2007-10-14-03,1.078
2007-10-14-04,1.078
2007-10-14-05,1.078
2007-10-14-06,1.078
2007-10-14-07,1.078
2007-10-14-08,1.078
2007-10-14-09,1.078
2007-10-14-10,1.078
2007-10-14-11,1.078
2007-10-14-12,1.078
2007-10-14-13,1.078
2007-10-14-14,1.078
2007-10-14-15,1.078
2007-10-14-16,1.078
2007-10-14-17,1.078
2007-10-14-18,1.078
2007-10-14-19,1.078
2007-10-14-20,1.088
2007-10-14-21,1.088
2007-10-14-22,1.098
2007-10-14-23,1.098
2007-10-15-00,1.098
2007-10-15-01,1.098
2007-10-15-02,1.098
2007-10-15-03,1.098
2007-10-15-04,1.098
2007-10-15-05,1.098
2007-10-15-06,1.098
2007-10-15-07,1.098
2007-10-15-08,1.098
2007-10-15-09,1.098
2007-10-15-10,1.098
2007-10-15-11,1.108
2007-10-15-12,1.108
2007-10-15-13,1.108
2007-10-15-14,1.108
2007-10-15-15,1.108
2007-10-15-16,1.108
2007-10-15-17,1.108
2007-10-15-18,1.108
2007-10-15-19,1.108
2007-10-15-20,1.108
2007-10-15-21,1.108
2007-10-15-22,1.108
2007-10-15-23,1.108
2007-10-16-00,1.108
2007-10-16-01,1.108
2007-10-16-02,1.108
2007-10-16-03,1.108
2007-10-16-04,1.108
2007-10-16-05,1.108
2007-10-16-06,1.108
2007-10-16-07,1.108
2007-10-16-08,1.108
2007-10-16-09,1.108
2007-10-16-10,1.108
2007-10-16-11,1.108
2007-10-16-12,1.108
2007-10-16-13,1.118
2007-10-16-14,1.118
2007-10-16-15,1.118
2007-10-16-16,1.118
2007-10-16-17,1.118
2007-10-16-18,1.118
2007-10-16-19,1.118
2007-10-16-20,1.118
2007-10-16-21,1.118
2007-10-16-22,1.118
2007-10-16-23,1.118
2007-10-17-00,1.118
2007-10-17-01,1.118
2007-10-17-02,1.118
2007-10-17-03,1.118
2007-10-17-04,1.118
2007-10-17-05,1.118
2007-10-17-06,1.118
2007-10-17-07,1.118
2007-10-17-08,1.118
2007-10-17-09,1.118
2007-10-17-10,1.118
2007-10-17-11,1.118
2007-10-17-12,1.118
2007-10-17-13,1.178
2007-10-17-14,1.228
2007-10-17-15,1.298
2007-10-17-16,1.338
2007-10-17-17,1.378
2007-10-17-18,1.418
2007-10-17-19,1.458
2007-10-17-20,1.468
2007-10-17-21,1.508
2007-10-17-22,1.508
2007-10-17-23,1.508
2007-10-18-00,1.508
2007-10-18-01,1.508
2007-10-18-02,1.508
2007-10-18-03,1.508
2007-10-18-04,1.508
2007-10-18-05,1.508
2007-10-18-06,1.508
2007-10-18-07,1.508
2007-10-18-08,1.528
2007-10-18-09,1.528
2007-10-18-10,1.548
2007-10-18-11,1.558
2007-10-18-12,1.578
2007-10-18-13,1.588
2007-10-18-14,1.598
2007-10-18-15,1.618
2007-10-18-16,1.618
2007-10-18-17,1.628
2007-10-18-18,1.638
2007-10-18-19,1.648
2007-10-18-20,1.648
2007-10-18-21,1.658
2007-10-18-22,1.658
2007-10-18-23,1.658
2007-10-19-00,1.658
2007-10-19-01,1.668
2007-10-19-02,1.668
2007-10-19-03,1.668
2007-10-19-04,1.668
2007-10-19-05,1.668
2007-10-19-06,1.658
2007-10-19-07,1.658
2007-10-19-08,1.648
2007-10-19-09,1.638
2007-10-19-10,1.638
2007-10-19-11,1.628
2007-10-19-12,1.618
2007-10-19-13,1.618
2007-10-19-14,1.618
2007-10-19-15,1.618
2007-10-19-16,1.618
2007-10-19-17,1.618
2007-10-19-18,1.618
2007-10-19-19,1.618
2007-10-19-20,1.618
2007-10-19-21,1.618
2007-10-19-22,1.618
2007-10-19-23,1.628
2007-10-20-00,1.628
2007-10-20-01,1.638
2007-10-20-02,1.638
2007-10-20-03,1.638
2007-10-20-04,1.638
2007-10-20-05,1.638
2007-10-20-06,1.638
2007-10-20-07,1.638
2007-10-20-08,1.648
2007-10-20-09,1.648
2007-10-20-10,1.648
2007-10-20-11,1.658
2007-10-20-12,1.658
2007-10-20-13,1.658
2007-10-20-14,1.658
2007-10-20-15,1.658
2007-10-20-16,1.658
2007-10-20-17,1.658
2007-10-20-18,1.658
2007-10-20-19,1.658
2007-10-20-20,1.658
2007-10-20-21,1.658
2007-10-20-22,1.658
2007-10-20-23,1.658
2007-10-21-00,1.658
2007-10-21-01,1.668
2007-10-21-02,1.668
2007-10-21-03,1.668
