date_new,well_ft
2007-10-05-01,2.062
2007-10-05-02,2.062
2007-10-05-03,2.052
2007-10-05-04,2.052
2007-10-05-05,2.052
2007-10-05-06,2.042
2007-10-05-07,2.042
2007-10-05-08,2.042
2007-10-05-09,2.062
2007-10-05-10,2.052
2007-10-05-11,2.042
2007-10-05-12,2.042
2007-10-05-13,2.042
2007-10-05-14,2.042
2007-10-05-15,2.042
2007-10-05-16,2.042
2007-10-05-17,2.042
2007-10-05-18,2.042
2007-10-05-19,2.032
2007-10-05-20,2.032
2007-10-05-21,2.032
2007-10-05-22,2.032
2007-10-05-23,2.032
2007-10-06-00,2.022
2007-10-06-01,2.022
2007-10-06-02,2.022
2007-10-06-03,2.012
2007-10-06-04,2.012
2007-10-06-05,2.012
2007-10-06-06,2.022
2007-10-06-07,2.022
2007-10-06-08,2.032
2007-10-06-09,2.032
2007-10-06-10,2.022
2007-10-06-11,2.022
2007-10-06-12,2.012
2007-10-06-13,2.012
2007-10-06-14,2.002
2007-10-06-15,2.002
2007-10-06-16,1.992
2007-10-06-17,1.992
2007-10-06-18,1.982
2007-10-06-19,1.982
2007-10-06-20,1.982
2007-10-06-21,1.982
2007-10-06-22,1.982
2007-10-06-23,1.972
2007-10-07-00,1.972
2007-10-07-01,1.962
2007-10-07-02,1.962
2007-10-07-03,1.952
2007-10-07-04,1.952
2007-10-07-05,1.942
2007-10-07-06,1.942
2007-10-07-07,1.942
2007-10-07-08,1.942
2007-10-07-09,1.932
2007-10-07-10,1.932
2007-10-07-11,1.932
2007-10-07-12,1.922
2007-10-07-13,1.922
2007-10-07-14,1.912
2007-10-07-15,1.902
2007-10-07-16,1.902
2007-10-07-17,1.902
2007-10-07-18,1.902
2007-10-07-19,1.892
2007-10-07-20,1.892
2007-10-07-21,1.892
2007-10-07-22,1.892
2007-10-07-23,1.892
2007-10-08-00,1.882
2007-10-08-01,1.872
2007-10-08-02,1.872
2007-10-08-03,1.862
2007-10-08-04,1.862
2007-10-08-05,1.842
2007-10-08-06,1.842
2007-10-08-07,1.842
2007-10-08-08,1.842
2007-10-08-09,1.832
2007-10-08-10,1.832
2007-10-08-11,1.832
2007-10-08-12,1.822
2007-10-08-13,1.822
