,year,month,year_month,well_ft,rain_ft,tide_ft
0,2007,10,2007_10,2.618864065,0.707498,-1.187503495
1,2007,11,2007_11,2.016660194,0.056665,-1.187185972
2,2007,12,2007_12,1.226892473,0.044997,-1.188057392
3,2008,1,2008_1,1.584419355,0.314166,-1.187156452
4,2008,2,2008_2,1.965448276,0.487495,-1.188431897
5,2008,3,2008_3,2.043184388,0.402497,-1.185364738
6,2008,4,2008_4,2.226111111,0.203327,-1.186909028
7,2008,5,2008_5,1.529008086,0.309999,-1.185745161
8,2008,6,2008_6,1.534833333,0.310823,-1.187621806
9,2008,7,2008_7,1.867927419,0.320821,-1.188637634
10,2008,8,2008_8,2.614083333,1.155812,-1.188652016
11,2008,9,2008_9,3.253819444,0.802488,-1.187347083
12,2008,10,2008_10,3.116260753,0.409156,-1.188225
13,2008,11,2008_11,1.877409154,0.03833,-1.187839444
14,2008,12,2008_12,1.633951548,0.022499,-1.189374328
15,2009,1,2009_1,1.414782258,0.016664,-1.190218414
16,2009,2,2009_2,1.1148125,0.02,-1.186481845
17,2009,3,2009_3,1.075324361,0.720824,-1.190329206
18,2009,4,2009_4,1.596013889,0.063332,-1.186932639
19,2009,5,2009_5,1.989083333,0.909161,-1.184489247
20,2009,6,2009_6,2.936242003,0.747494,-1.186433611
21,2009,7,2009_7,2.889395833,0.513326,-1.186637903
22,2009,8,2009_8,2.165973214,0.37416,-1.187329167
23,2009,9,2009_9,3.033458333,0.601658,-1.187308056
24,2009,10,2009_10,2.15480914,0.087496,-1.186809409
25,2009,11,2009_11,1.897228849,0.31916,-1.186524167
26,2009,12,2009_12,2.684822581,0.724166,-1.186432258
27,2010,1,2010_1,2.225629032,0.133322,-1.189953495
28,2010,2,2010_2,2.115392857,0.344159,-1.185972173
29,2010,3,2010_3,2.215270525,0.379993,-1.19274603
30,2010,4,2010_4,2.129902778,0.387494,-1.188467361
31,2010,5,2010_5,1.926596774,0.084996,-1.188394086
32,2010,6,2010_6,0.943013889,0.138327,-1.187143611
33,2010,7,2010_7,1.003330645,0.523325,-1.186823118
34,2010,8,2010_8,0.726731183,0.620827,-1.186783737
35,2010,9,2010_9,1.54459058,0.625826,-1.18738875
36,2010,10,2010_10,1.212818054,0.028332,-1.186699597
37,2010,11,2010_11,0.528893204,0.198331,-1.18901625
38,2010,12,2010_12,0.46497043,0.215831,-1.185321102
39,2011,1,2011_1,0.259540323,0.194166,-1.186397984
40,2011,2,2011_2,-0.007553571,0.059165,-1.188984226
41,2011,3,2011_3,-0.471230148,0.269164,-1.186847241
42,2011,4,2011_4,-0.455375,0.125831,-1.187834306
43,2011,5,2011_5,-1.207852151,0.089996,-1.188245833
44,2011,6,2011_6,-1.057513889,0.324165,-1.187854583
45,2011,7,2011_7,0.629992424,0.217495,-1.188695833
46,2011,10,2011_10,1.720333333,0.989148,-1.188246505
47,2011,11,2011_11,1.756993065,0.221663,-1.186647639
48,2011,12,2011_12,0.457483871,0.057496,-1.188246909
49,2012,1,2012_1,-0.375254374,0.013331,-1.187425941
50,2012,2,2012_2,-0.121836207,0.214161,-1.188302586
51,2012,3,2012_3,-0.410543742,0.212498,-1.185829206
52,2012,4,2012_4,-0.531138889,0.607481,-1.186898056
53,2012,5,2012_5,1.092304487,0.542487,-1.18523871
54,2012,8,2012_8,1.523336806,0.91749,-1.18856828
55,2012,9,2012_9,1.854611111,0.317487,-1.187548194
56,2012,10,2012_10,1.490857527,0.334991,-1.188303763
57,2012,11,2012_11,0.872291262,0.056665,-1.187787917
58,2012,12,2012_12,0.277443548,0.089996,-1.18924086
59,2013,1,2013_1,-0.199357527,0.119991,-1.190344086
60,2013,2,2013_2,-0.63675,0.108331,-1.185983929
61,2013,3,2013_3,-1.162697174,0.015829,-1.191533782
62,2013,4,2013_4,-0.618013889,0.509993,-1.187431111
63,2013,5,2013_5,0.962094086,1.06665,-1.184974462
64,2013,6,2013_6,1.648472222,0.44832,-1.186395972
65,2013,7,2013_7,1.842134409,0.841652,-1.186190054
66,2013,8,2013_8,1.352846774,0.406658,-1.186999866
67,2013,9,2013_9,1.391486111,0.360824,-1.187412361
68,2013,10,2013_10,0.849271505,0.027498,-1.18661129
69,2013,11,2013_11,0.369961165,0.446661,-1.187250833
70,2013,12,2013_12,0.659755376,0.072498,-1.185872984
71,2014,1,2014_1,-0.056602151,0.139991,-1.188947581
72,2014,2,2014_2,0.0495,0.124166,-1.186707738
