date,well_ft,forecast
10/1/2007 0:00,1.6285,NA
10/1/2007 1:00,1.6285,NA
10/1/2007 2:00,1.641,NA
10/1/2007 3:00,1.6585,NA
10/1/2007 4:00,1.6785,NA
10/1/2007 5:00,1.706,NA
10/1/2007 6:00,1.736,NA
10/1/2007 7:00,1.761,NA
10/1/2007 8:00,1.906,NA
10/1/2007 9:00,2.101,NA
10/1/2007 10:00,2.176,NA
10/1/2007 11:00,2.2435,NA
10/1/2007 12:00,2.406,NA
10/1/2007 13:00,2.521,NA
10/1/2007 14:00,2.5685,NA
10/1/2007 15:00,2.5885,NA
10/1/2007 16:00,2.591,NA
10/1/2007 17:00,2.591,NA
10/1/2007 18:00,2.591,NA
10/1/2007 19:00,2.591,NA
10/1/2007 20:00,2.591,NA
10/1/2007 21:00,2.591,NA
10/1/2007 22:00,2.591,NA
10/1/2007 23:00,2.591,NA
10/2/2007 0:00,2.591,NA
10/2/2007 1:00,2.591,NA
10/2/2007 2:00,2.591,NA
10/2/2007 3:00,2.591,NA
10/2/2007 4:00,2.591,NA
10/2/2007 5:00,2.591,NA
10/2/2007 6:00,2.591,NA
10/2/2007 7:00,2.591,NA
10/2/2007 8:00,2.5835,NA
10/2/2007 9:00,2.5785,NA
10/2/2007 10:00,2.566,NA
10/2/2007 11:00,2.5585,NA
10/2/2007 12:00,2.5485,NA
10/2/2007 13:00,2.526,NA
10/2/2007 14:00,2.5185,NA
10/2/2007 15:00,2.5085,NA
10/2/2007 16:00,2.501,NA
10/2/2007 17:00,2.491,NA
10/2/2007 18:00,2.481,NA
10/2/2007 19:00,2.4685,NA
10/2/2007 20:00,2.461,NA
10/2/2007 21:00,2.4535,NA
10/2/2007 22:00,2.4485,NA
10/2/2007 23:00,2.436,NA
10/3/2007 0:00,2.4235,NA
10/3/2007 1:00,2.421,NA
10/3/2007 2:00,2.4035,NA
10/3/2007 3:00,2.401,NA
10/3/2007 4:00,2.3935,NA
10/3/2007 5:00,2.3835,NA
10/3/2007 6:00,2.3735,NA
10/3/2007 7:00,2.366,NA
10/3/2007 8:00,2.3485,NA
10/3/2007 9:00,2.331,NA
10/3/2007 10:00,2.316,NA
10/3/2007 11:00,2.301,NA
10/3/2007 12:00,2.2935,NA
10/3/2007 13:00,2.291,NA
10/3/2007 14:00,2.286,NA
10/3/2007 15:00,2.2685,NA
10/3/2007 16:00,2.2585,NA
10/3/2007 17:00,2.246,NA
10/3/2007 18:00,2.2385,NA
10/3/2007 19:00,2.221,NA
10/3/2007 20:00,2.211,NA
10/3/2007 21:00,2.211,NA
10/3/2007 22:00,2.201,NA
10/3/2007 23:00,2.181,NA
10/4/2007 0:00,2.171,NA
10/4/2007 1:00,2.1635,NA
10/4/2007 2:00,2.151,NA
10/4/2007 3:00,2.141,NA
10/4/2007 4:00,2.1385,NA
10/4/2007 5:00,2.131,NA
10/4/2007 6:00,2.131,NA
10/4/2007 7:00,2.131,NA
10/4/2007 8:00,2.121,NA
10/4/2007 9:00,2.111,NA
10/4/2007 10:00,2.111,NA
10/4/2007 11:00,2.111,NA
10/4/2007 12:00,2.111,NA
10/4/2007 13:00,2.111,NA
10/4/2007 14:00,2.0885,NA
10/4/2007 15:00,2.071,NA
10/4/2007 16:00,2.066,NA
10/4/2007 17:00,2.061,NA
10/4/2007 18:00,2.051,NA
10/4/2007 19:00,2.051,NA
10/4/2007 20:00,2.041,NA
10/4/2007 21:00,2.031,NA
10/4/2007 22:00,2.031,NA
10/4/2007 23:00,2.026,NA
10/5/2007 0:00,2.021,NA
10/5/2007 1:00,2.011,NA
10/5/2007 2:00,2.011,NA
10/5/2007 3:00,2.011,NA
10/5/2007 4:00,2.011,NA
10/5/2007 5:00,2.0035,NA
10/5/2007 6:00,2.001,NA
10/5/2007 7:00,2.001,NA
10/5/2007 8:00,1.9935,NA
10/5/2007 9:00,1.991,NA
10/5/2007 10:00,1.9885,NA
10/5/2007 11:00,1.981,NA
10/5/2007 12:00,1.9785,NA
10/5/2007 13:00,1.971,NA
10/5/2007 14:00,1.971,NA
10/5/2007 15:00,1.971,NA
10/5/2007 16:00,1.971,NA
10/5/2007 17:00,1.971,NA
10/5/2007 18:00,1.971,NA
10/5/2007 19:00,1.971,NA
10/5/2007 20:00,1.9685,NA
10/5/2007 21:00,1.961,NA
10/5/2007 22:00,1.956,NA
10/5/2007 23:00,1.951,NA
10/6/2007 0:00,1.946,NA
10/6/2007 1:00,1.9385,NA
10/6/2007 2:00,1.931,NA
10/6/2007 3:00,1.931,NA
10/6/2007 4:00,1.931,NA
10/6/2007 5:00,1.9235,NA
10/6/2007 6:00,1.921,NA
10/6/2007 7:00,1.921,NA
10/6/2007 8:00,1.921,NA
10/6/2007 9:00,1.926,NA
10/6/2007 10:00,1.931,NA
10/6/2007 11:00,1.931,NA
10/6/2007 12:00,1.931,NA
10/6/2007 13:00,1.931,NA
10/6/2007 14:00,1.931,NA
10/6/2007 15:00,1.931,NA
10/6/2007 16:00,1.931,NA
10/6/2007 17:00,1.931,NA
10/6/2007 18:00,1.931,NA
10/6/2007 19:00,1.926,NA
10/6/2007 20:00,1.921,NA
10/6/2007 21:00,1.921,NA
10/6/2007 22:00,1.921,NA
10/6/2007 23:00,1.921,NA
10/7/2007 0:00,1.921,NA
10/7/2007 1:00,1.9135,NA
10/7/2007 2:00,1.911,NA
10/7/2007 3:00,1.911,NA
10/7/2007 4:00,1.911,NA
10/7/2007 5:00,1.911,NA
10/7/2007 6:00,1.9035,NA
10/7/2007 7:00,1.8985,NA
10/7/2007 8:00,1.8835,NA
10/7/2007 9:00,1.8785,NA
10/7/2007 10:00,1.871,NA
10/7/2007 11:00,1.871,NA
