date,well_ft,forecast
10/10/2007 1:00,7.158,NA
10/10/2007 2:00,7.158,NA
10/10/2007 3:00,7.158,NA
10/10/2007 4:00,7.158,NA
10/10/2007 5:00,7.148,NA
10/10/2007 6:00,7.148,NA
10/10/2007 7:00,7.128,NA
10/10/2007 8:00,7.128,NA
10/10/2007 9:00,7.118,NA
10/10/2007 10:00,7.108,NA
10/10/2007 11:00,7.098,NA
10/10/2007 12:00,7.088,NA
10/10/2007 13:00,7.088,NA
10/10/2007 14:00,7.088,NA
10/10/2007 15:00,7.088,NA
10/10/2007 16:00,7.088,NA
10/10/2007 17:00,7.088,NA
10/10/2007 18:00,7.088,NA
10/10/2007 19:00,7.078,NA
10/10/2007 20:00,7.078,NA
10/10/2007 21:00,7.078,NA
10/10/2007 22:00,7.078,NA
10/10/2007 23:00,7.068,NA
10/11/2007 0:00,7.068,NA
10/11/2007 1:00,7.068,NA
10/11/2007 2:00,7.068,NA
10/11/2007 3:00,7.068,NA
10/11/2007 4:00,7.068,NA
10/11/2007 5:00,7.068,NA
10/11/2007 6:00,7.058,NA
10/11/2007 7:00,7.048,NA
10/11/2007 8:00,7.048,NA
10/11/2007 9:00,7.038,NA
10/11/2007 10:00,7.038,NA
10/11/2007 11:00,7.028,NA
10/11/2007 12:00,7.028,NA
10/11/2007 13:00,7.028,NA
10/11/2007 14:00,7.018,NA
10/11/2007 15:00,7.018,NA
10/11/2007 16:00,7.018,NA
10/11/2007 17:00,7.018,NA
10/11/2007 18:00,7.008,NA
10/11/2007 19:00,7.008,NA
10/11/2007 20:00,7.008,NA
10/11/2007 21:00,7.008,NA
10/11/2007 22:00,6.998,NA
10/11/2007 23:00,6.998,NA
10/12/2007 0:00,6.998,NA
10/12/2007 1:00,6.988,NA
10/12/2007 2:00,6.988,NA
10/12/2007 3:00,6.988,NA
10/12/2007 4:00,6.988,NA
10/12/2007 5:00,6.988,NA
10/12/2007 6:00,6.978,NA
10/12/2007 7:00,6.968,NA
10/12/2007 8:00,6.968,NA
10/12/2007 9:00,6.968,NA
10/12/2007 10:00,6.958,NA
10/12/2007 11:00,6.958,NA
10/12/2007 12:00,6.948,NA
10/12/2007 13:00,6.948,NA
10/12/2007 14:00,6.948,NA
10/12/2007 15:00,6.948,NA
10/12/2007 16:00,6.948,NA
10/12/2007 17:00,6.948,NA
10/12/2007 18:00,6.948,NA
10/12/2007 19:00,6.948,NA
10/12/2007 20:00,6.938,NA
10/12/2007 21:00,6.938,NA
10/12/2007 22:00,6.938,NA
10/12/2007 23:00,6.928,NA
10/13/2007 0:00,6.928,NA
10/13/2007 1:00,6.928,NA
10/13/2007 2:00,6.928,NA
10/13/2007 3:00,6.928,NA
10/13/2007 4:00,6.918,NA
10/13/2007 5:00,6.918,NA
10/13/2007 6:00,6.908,NA
10/13/2007 7:00,6.908,NA
10/13/2007 8:00,6.898,NA
10/13/2007 9:00,6.898,NA
10/13/2007 10:00,6.888,NA
10/13/2007 11:00,6.888,NA
10/13/2007 12:00,6.848,NA
10/13/2007 13:00,6.828,NA
10/13/2007 14:00,6.828,NA
10/13/2007 15:00,6.828,NA
10/13/2007 16:00,6.808,NA
10/13/2007 17:00,6.798,NA
10/13/2007 18:00,6.818,NA
10/13/2007 19:00,6.808,NA
10/13/2007 20:00,6.788,NA
10/13/2007 21:00,6.808,NA
10/13/2007 22:00,6.788,NA
10/13/2007 23:00,6.778,NA
10/14/2007 0:00,6.798,NA
10/14/2007 1:00,6.788,NA
10/14/2007 2:00,6.768,NA
10/14/2007 3:00,6.758,NA
10/14/2007 4:00,6.758,NA
10/14/2007 5:00,6.758,NA
10/14/2007 6:00,6.718,NA
10/14/2007 7:00,6.708,NA
10/14/2007 8:00,6.708,NA
10/14/2007 9:00,6.708,NA
10/14/2007 10:00,6.718,NA
10/14/2007 11:00,6.708,NA
10/14/2007 12:00,6.708,NA
10/14/2007 13:00,6.708,NA
10/14/2007 14:00,6.708,NA
10/14/2007 15:00,6.728,NA
10/14/2007 16:00,6.708,NA
10/14/2007 17:00,6.708,NA
10/14/2007 18:00,6.728,NA
10/14/2007 19:00,6.698,NA
10/14/2007 20:00,6.708,NA
10/14/2007 21:00,6.708,NA
10/14/2007 22:00,6.668,NA
10/14/2007 23:00,6.708,NA
10/15/2007 0:00,6.688,NA
10/15/2007 1:00,6.698,NA
10/15/2007 2:00,6.668,NA
10/15/2007 3:00,6.678,NA
10/15/2007 4:00,6.688,NA
10/15/2007 5:00,6.648,NA
10/15/2007 6:00,6.628,NA
10/15/2007 7:00,6.628,NA
10/15/2007 8:00,6.648,NA
10/15/2007 9:00,6.618,NA
10/15/2007 10:00,6.638,NA
10/15/2007 11:00,6.658,NA
10/15/2007 12:00,6.658,NA
10/15/2007 13:00,6.638,NA
10/15/2007 14:00,6.628,NA
10/15/2007 15:00,6.618,NA
10/15/2007 16:00,6.638,NA
10/15/2007 17:00,6.618,NA
10/15/2007 18:00,6.608,NA
10/15/2007 19:00,6.618,NA
10/15/2007 20:00,6.608,NA
10/15/2007 21:00,6.598,NA
10/15/2007 22:00,6.618,NA
10/15/2007 23:00,6.598,NA
10/16/2007 0:00,6.618,NA
10/16/2007 1:00,6.598,NA
10/16/2007 2:00,6.598,NA
10/16/2007 3:00,6.598,NA
10/16/2007 4:00,6.598,NA
10/16/2007 5:00,6.568,NA
10/16/2007 6:00,6.558,NA
10/16/2007 7:00,6.578,NA
10/16/2007 8:00,6.578,NA
10/16/2007 9:00,6.538,NA
10/16/2007 10:00,6.538,NA
10/16/2007 11:00,6.538,NA
10/16/2007 12:00,6.538,NA
10/16/2007 13:00,6.528,NA
10/16/2007 14:00,6.528,NA
10/16/2007 15:00,6.538,NA
10/16/2007 16:00,6.528,NA
10/16/2007 17:00,6.518,NA
10/16/2007 18:00,6.518,NA
10/16/2007 19:00,6.538,NA
10/16/2007 20:00,6.538,NA
10/16/2007 21:00,6.518,NA
10/16/2007 22:00,6.538,NA
10/16/2007 23:00,6.528,NA
10/17/2007 0:00,6.568,NA
10/17/2007 1:00,6.568,NA
10/17/2007 2:00,6.558,NA
10/17/2007 3:00,6.568,NA
10/17/2007 4:00,6.558,NA
10/17/2007 5:00,6.528,NA
10/17/2007 6:00,6.508,NA
10/17/2007 7:00,6.498,NA
10/17/2007 8:00,6.488,NA
10/17/2007 9:00,6.498,NA
10/17/2007 10:00,6.518,NA
10/17/2007 11:00,6.528,NA
10/17/2007 12:00,6.568,NA
10/17/2007 13:00,6.578,NA
10/17/2007 14:00,6.608,NA
10/17/2007 15:00,6.618,NA
10/17/2007 16:00,6.618,NA
10/17/2007 17:00,6.638,NA
10/17/2007 18:00,6.638,NA
10/17/2007 19:00,6.638,NA
10/17/2007 20:00,6.638,NA
10/17/2007 21:00,6.638,NA
10/17/2007 22:00,6.638,NA
10/17/2007 23:00,6.638,NA
10/18/2007 0:00,6.638,NA
10/18/2007 1:00,6.648,NA
10/18/2007 2:00,6.648,NA
10/18/2007 3:00,6.648,NA
10/18/2007 4:00,6.648,NA
10/18/2007 5:00,6.648,NA
10/18/2007 6:00,6.638,NA
10/18/2007 7:00,6.628,NA
10/18/2007 8:00,6.618,NA
10/18/2007 9:00,6.618,NA
10/18/2007 10:00,6.618,NA
10/18/2007 11:00,6.618,NA
10/18/2007 12:00,6.618,NA
10/18/2007 13:00,6.618,NA
10/18/2007 14:00,6.618,NA
10/18/2007 15:00,6.618,NA
10/18/2007 16:00,6.628,NA
10/18/2007 17:00,6.628,NA
10/18/2007 18:00,6.628,NA
10/18/2007 19:00,6.618,NA
10/18/2007 20:00,6.618,NA
10/18/2007 21:00,6.618,NA
10/18/2007 22:00,6.608,NA
10/18/2007 23:00,6.608,NA
10/19/2007 0:00,6.608,NA
10/19/2007 1:00,6.608,NA
10/19/2007 2:00,6.608,NA
10/19/2007 3:00,6.608,NA
10/19/2007 4:00,6.608,NA
10/19/2007 5:00,6.608,NA
10/19/2007 6:00,6.598,NA
10/19/2007 7:00,6.598,NA
10/19/2007 8:00,6.598,NA
10/19/2007 9:00,6.588,NA
10/19/2007 10:00,6.578,NA
10/19/2007 11:00,6.578,NA
10/19/2007 12:00,6.578,NA
10/19/2007 13:00,6.578,NA
10/19/2007 14:00,6.588,NA
10/19/2007 15:00,6.598,NA
10/19/2007 16:00,6.588,NA
10/19/2007 17:00,6.588,NA
10/19/2007 18:00,6.588,NA
10/19/2007 19:00,6.588,NA
10/19/2007 20:00,6.578,NA
10/19/2007 21:00,6.578,NA
10/19/2007 22:00,6.578,NA
10/19/2007 23:00,6.568,NA
10/20/2007 0:00,6.578,NA
10/20/2007 1:00,6.578,NA
10/20/2007 2:00,6.578,NA
10/20/2007 3:00,6.578,NA
10/20/2007 4:00,6.568,NA
10/20/2007 5:00,6.568,NA
10/20/2007 6:00,6.558,NA
10/20/2007 7:00,6.558,NA
10/20/2007 8:00,6.548,NA
10/20/2007 9:00,6.538,NA
10/20/2007 10:00,6.538,NA
10/20/2007 11:00,6.538,NA
10/20/2007 12:00,6.538,NA
10/20/2007 13:00,6.538,NA
10/20/2007 14:00,6.538,NA
10/20/2007 15:00,6.548,NA
10/20/2007 16:00,6.548,NA
10/20/2007 17:00,6.548,NA
10/20/2007 18:00,6.548,NA
10/20/2007 19:00,6.548,NA
10/20/2007 20:00,6.548,NA
10/20/2007 21:00,6.558,NA
10/20/2007 22:00,6.558,NA
10/20/2007 23:00,6.568,NA
10/21/2007 0:00,6.568,NA
10/21/2007 1:00,6.568,NA
10/21/2007 2:00,6.578,NA
10/21/2007 3:00,6.598,NA
10/21/2007 4:00,6.618,NA
10/21/2007 5:00,6.628,NA
10/21/2007 6:00,6.638,NA
10/21/2007 7:00,6.638,NA
10/21/2007 8:00,6.638,NA
10/21/2007 9:00,6.638,NA
10/21/2007 10:00,6.638,NA
10/21/2007 11:00,6.638,NA
10/21/2007 12:00,6.638,NA
10/21/2007 13:00,6.648,NA
10/21/2007 14:00,6.658,NA
10/21/2007 15:00,6.658,NA
10/21/2007 16:00,6.658,NA
10/21/2007 17:00,6.658,NA
10/21/2007 18:00,6.658,NA
10/21/2007 19:00,6.658,NA
10/21/2007 20:00,6.658,NA
10/21/2007 21:00,6.658,NA
10/21/2007 22:00,6.648,NA
10/21/2007 23:00,6.658,NA
10/22/2007 0:00,6.648,NA
10/22/2007 1:00,6.658,NA
10/22/2007 2:00,6.658,NA
10/22/2007 3:00,6.658,NA
10/22/2007 4:00,6.658,NA
10/22/2007 5:00,6.658,NA
10/22/2007 6:00,6.648,NA
10/22/2007 7:00,6.648,NA
10/22/2007 8:00,6.638,NA
10/22/2007 9:00,6.638,NA
10/22/2007 10:00,6.638,NA
10/22/2007 11:00,6.638,NA
10/22/2007 12:00,6.638,NA
10/22/2007 13:00,6.638,NA
10/22/2007 14:00,6.638,NA
10/22/2007 15:00,6.638,NA
10/22/2007 16:00,6.648,NA
10/22/2007 17:00,6.648,NA
10/22/2007 18:00,6.648,NA
10/22/2007 19:00,6.648,NA
10/22/2007 20:00,6.638,NA
10/22/2007 21:00,6.638,NA
10/22/2007 22:00,6.638,NA
10/22/2007 23:00,6.638,NA
10/23/2007 0:00,6.638,NA
10/23/2007 1:00,6.638,NA
10/23/2007 2:00,6.638,NA
10/23/2007 3:00,6.638,NA
10/23/2007 4:00,6.638,NA
10/23/2007 5:00,6.638,NA
10/23/2007 6:00,6.628,NA
10/23/2007 7:00,6.618,NA
10/23/2007 8:00,6.618,NA
10/23/2007 9:00,6.608,NA
10/23/2007 10:00,6.608,NA
10/23/2007 11:00,6.608,NA
10/23/2007 12:00,6.608,NA
10/23/2007 13:00,6.608,NA
10/23/2007 14:00,6.608,NA
10/23/2007 15:00,6.608,NA
10/23/2007 16:00,6.608,NA
10/23/2007 17:00,6.608,NA
10/23/2007 18:00,6.608,NA
10/23/2007 19:00,6.608,NA
10/23/2007 20:00,6.598,NA
10/23/2007 21:00,6.598,NA
10/23/2007 22:00,6.598,NA
10/23/2007 23:00,6.598,NA
10/24/2007 0:00,6.598,NA
10/24/2007 1:00,6.598,NA
10/24/2007 2:00,6.598,NA
10/24/2007 3:00,6.598,NA
10/24/2007 4:00,6.598,NA
10/24/2007 5:00,6.598,NA
10/24/2007 6:00,6.598,NA
10/24/2007 7:00,6.598,NA
10/24/2007 8:00,6.598,NA
10/24/2007 9:00,6.598,NA
10/24/2007 10:00,6.598,NA
10/24/2007 11:00,6.598,NA
10/24/2007 12:00,6.598,NA
10/24/2007 13:00,6.598,NA
10/24/2007 14:00,6.598,NA
10/24/2007 15:00,6.598,NA
10/24/2007 16:00,6.598,NA
10/24/2007 17:00,6.598,NA
10/24/2007 18:00,6.598,NA
10/24/2007 19:00,6.598,NA
10/24/2007 20:00,6.598,NA
10/24/2007 21:00,6.598,NA
10/24/2007 22:00,6.598,NA
10/24/2007 23:00,6.598,NA
10/25/2007 0:00,6.598,NA
10/25/2007 1:00,6.598,NA
10/25/2007 2:00,6.598,NA
10/25/2007 3:00,6.598,NA
10/25/2007 4:00,6.598,NA
10/25/2007 5:00,6.598,NA
10/25/2007 6:00,6.598,NA
10/25/2007 7:00,6.598,NA
10/25/2007 8:00,6.598,NA
10/25/2007 9:00,6.598,NA
10/25/2007 10:00,6.598,NA
10/25/2007 11:00,6.598,NA
10/25/2007 12:00,6.598,NA
10/25/2007 13:00,6.598,NA
10/25/2007 14:00,6.598,NA
10/25/2007 15:00,6.598,NA
10/25/2007 16:00,6.598,NA
10/25/2007 17:00,6.598,NA
10/25/2007 18:00,6.598,NA
10/25/2007 19:00,6.598,NA
10/25/2007 20:00,6.598,NA
10/25/2007 21:00,6.598,NA
10/25/2007 22:00,6.598,NA
10/25/2007 23:00,6.598,NA
10/26/2007 0:00,6.398,NA
10/26/2007 1:00,6.418,NA
10/26/2007 2:00,6.418,NA
10/26/2007 3:00,6.398,NA
10/26/2007 4:00,6.438,NA
10/26/2007 5:00,6.518,NA
10/26/2007 6:00,6.648,NA
10/26/2007 7:00,6.738,NA
