date,well_ft,forecast
10/10/2007 1:00,0.714,NA
10/10/2007 2:00,0.714,NA
10/10/2007 3:00,0.714,NA
10/10/2007 4:00,0.704,NA
10/10/2007 5:00,0.684,NA
10/10/2007 6:00,0.674,NA
10/10/2007 7:00,0.674,NA
10/10/2007 8:00,0.674,NA
10/10/2007 9:00,0.674,NA
10/10/2007 10:00,0.674,NA
10/10/2007 11:00,0.684,NA
10/10/2007 12:00,0.694,NA
10/10/2007 13:00,0.704,NA
10/10/2007 14:00,0.704,NA
10/10/2007 15:00,0.704,NA
10/10/2007 16:00,0.694,NA
10/10/2007 17:00,0.674,NA
10/10/2007 18:00,0.654,NA
10/10/2007 19:00,0.654,NA
10/10/2007 20:00,0.654,NA
10/10/2007 21:00,0.654,NA
10/10/2007 22:00,0.654,NA
10/10/2007 23:00,0.654,NA
10/11/2007 0:00,0.674,NA
10/11/2007 1:00,0.684,NA
10/11/2007 2:00,0.684,NA
10/11/2007 3:00,0.684,NA
10/11/2007 4:00,0.664,NA
10/11/2007 5:00,0.644,NA
10/11/2007 6:00,0.634,NA
10/11/2007 7:00,0.634,NA
10/11/2007 8:00,0.634,NA
10/11/2007 9:00,0.634,NA
10/11/2007 10:00,0.634,NA
10/11/2007 11:00,0.634,NA
10/11/2007 12:00,0.634,NA
10/11/2007 13:00,0.634,NA
10/11/2007 14:00,0.634,NA
10/11/2007 15:00,0.634,NA
10/11/2007 16:00,0.634,NA
10/11/2007 17:00,0.634,NA
10/11/2007 18:00,0.624,NA
10/11/2007 19:00,0.614,NA
10/11/2007 20:00,0.614,NA
10/11/2007 21:00,0.614,NA
10/11/2007 22:00,0.614,NA
10/11/2007 23:00,0.624,NA
10/12/2007 0:00,0.634,NA
10/12/2007 1:00,0.644,NA
10/12/2007 2:00,0.644,NA
10/12/2007 3:00,0.644,NA
10/12/2007 4:00,0.644,NA
10/12/2007 5:00,0.634,NA
10/12/2007 6:00,0.624,NA
10/12/2007 7:00,0.624,NA
10/12/2007 8:00,0.624,NA
10/12/2007 9:00,0.624,NA
10/12/2007 10:00,0.624,NA
10/12/2007 11:00,0.624,NA
10/12/2007 12:00,0.624,NA
10/12/2007 13:00,0.624,NA
10/12/2007 14:00,0.624,NA
10/12/2007 15:00,0.624,NA
10/12/2007 16:00,0.624,NA
10/12/2007 17:00,0.624,NA
10/12/2007 18:00,0.614,NA
10/12/2007 19:00,0.604,NA
10/12/2007 20:00,0.594,NA
10/12/2007 21:00,0.594,NA
10/12/2007 22:00,0.594,NA
10/12/2007 23:00,0.604,NA
10/13/2007 0:00,0.614,NA
10/13/2007 1:00,0.614,NA
10/13/2007 2:00,0.624,NA
10/13/2007 3:00,0.624,NA
10/13/2007 4:00,0.624,NA
10/13/2007 5:00,0.624,NA
10/13/2007 6:00,0.604,NA
10/13/2007 7:00,0.594,NA
10/13/2007 8:00,0.594,NA
10/13/2007 9:00,0.594,NA
10/13/2007 10:00,0.594,NA
10/13/2007 11:00,0.604,NA
10/13/2007 12:00,0.614,NA
10/13/2007 13:00,0.614,NA
10/13/2007 14:00,0.624,NA
10/13/2007 15:00,0.634,NA
10/13/2007 16:00,0.634,NA
10/13/2007 17:00,0.634,NA
10/13/2007 18:00,0.634,NA
10/13/2007 19:00,0.624,NA
10/13/2007 20:00,0.604,NA
10/13/2007 21:00,0.594,NA
10/13/2007 22:00,0.594,NA
10/13/2007 23:00,0.594,NA
10/14/2007 0:00,0.594,NA
10/14/2007 1:00,0.604,NA
10/14/2007 2:00,0.614,NA
10/14/2007 3:00,0.614,NA
10/14/2007 4:00,0.614,NA
10/14/2007 5:00,0.614,NA
10/14/2007 6:00,0.614,NA
10/14/2007 7:00,0.604,NA
10/14/2007 8:00,0.594,NA
10/14/2007 9:00,0.584,NA
10/14/2007 10:00,0.584,NA
10/14/2007 11:00,0.584,NA
10/14/2007 12:00,0.594,NA
10/14/2007 13:00,0.604,NA
10/14/2007 14:00,0.614,NA
10/14/2007 15:00,0.614,NA
10/14/2007 16:00,0.614,NA
10/14/2007 17:00,0.614,NA
10/14/2007 18:00,0.614,NA
10/14/2007 19:00,0.614,NA
10/14/2007 20:00,0.604,NA
10/14/2007 21:00,0.594,NA
10/14/2007 22:00,0.584,NA
10/14/2007 23:00,0.584,NA
10/15/2007 0:00,0.584,NA
10/15/2007 1:00,0.594,NA
10/15/2007 2:00,0.594,NA
10/15/2007 3:00,0.604,NA
10/15/2007 4:00,0.614,NA
10/15/2007 5:00,0.614,NA
10/15/2007 6:00,0.614,NA
10/15/2007 7:00,0.594,NA
10/15/2007 8:00,0.584,NA
10/15/2007 9:00,0.554,NA
10/15/2007 10:00,0.514,NA
10/15/2007 11:00,0.504,NA
10/15/2007 12:00,0.504,NA
10/15/2007 13:00,0.504,NA
10/15/2007 14:00,0.524,NA
10/15/2007 15:00,0.544,NA
10/15/2007 16:00,0.554,NA
10/15/2007 17:00,0.564,NA
10/15/2007 18:00,0.564,NA
10/15/2007 19:00,0.544,NA
10/15/2007 20:00,0.504,NA
10/15/2007 21:00,0.454,NA
10/15/2007 22:00,0.424,NA
10/15/2007 23:00,0.404,NA
10/16/2007 0:00,0.414,NA
10/16/2007 1:00,0.444,NA
10/16/2007 2:00,0.464,NA
10/16/2007 3:00,0.484,NA
10/16/2007 4:00,0.494,NA
10/16/2007 5:00,0.504,NA
10/16/2007 6:00,0.504,NA
10/16/2007 7:00,0.474,NA
10/16/2007 8:00,0.424,NA
10/16/2007 9:00,0.384,NA
10/16/2007 10:00,0.324,NA
10/16/2007 11:00,0.274,NA
10/16/2007 12:00,0.264,NA
10/16/2007 13:00,0.294,NA
10/16/2007 14:00,0.334,NA
10/16/2007 15:00,0.374,NA
10/16/2007 16:00,0.394,NA
10/16/2007 17:00,0.394,NA
10/16/2007 18:00,0.404,NA
10/16/2007 19:00,0.384,NA
10/16/2007 20:00,0.334,NA
10/16/2007 21:00,0.274,NA
10/16/2007 22:00,0.224,NA
10/16/2007 23:00,0.184,NA
10/17/2007 0:00,0.184,NA
10/17/2007 1:00,0.214,NA
10/17/2007 2:00,0.274,NA
10/17/2007 3:00,0.314,NA
10/17/2007 4:00,0.344,NA
10/17/2007 5:00,0.354,NA
10/17/2007 6:00,0.344,NA
10/17/2007 7:00,0.274,NA
10/17/2007 8:00,0.204,NA
10/17/2007 9:00,0.154,NA
10/17/2007 10:00,0.134,NA
10/17/2007 11:00,0.114,NA
10/17/2007 12:00,0.114,NA
10/17/2007 13:00,0.114,NA
10/17/2007 14:00,0.154,NA
10/17/2007 15:00,0.194,NA
10/17/2007 16:00,0.254,NA
10/17/2007 17:00,0.334,NA
10/17/2007 18:00,0.334,NA
10/17/2007 19:00,0.294,NA
10/17/2007 20:00,0.244,NA
10/17/2007 21:00,0.174,NA
10/17/2007 22:00,0.134,NA
10/17/2007 23:00,0.114,NA
10/18/2007 0:00,0.114,NA
10/18/2007 1:00,0.114,NA
10/18/2007 2:00,0.134,NA
10/18/2007 3:00,0.194,NA
10/18/2007 4:00,0.234,NA
10/18/2007 5:00,0.274,NA
10/18/2007 6:00,0.284,NA
10/18/2007 7:00,0.234,NA
10/18/2007 8:00,0.164,NA
10/18/2007 9:00,0.114,NA
10/18/2007 10:00,0.114,NA
10/18/2007 11:00,0.084,NA
10/18/2007 12:00,0.084,NA
10/18/2007 13:00,0.084,NA
10/18/2007 14:00,0.084,NA
10/18/2007 15:00,0.114,NA
10/18/2007 16:00,0.154,NA
10/18/2007 17:00,0.194,NA
10/18/2007 18:00,0.234,NA
10/18/2007 19:00,0.254,NA
10/18/2007 20:00,0.214,NA
10/18/2007 21:00,0.154,NA
10/18/2007 22:00,0.114,NA
10/18/2007 23:00,0.094,NA
10/19/2007 0:00,0.074,NA
10/19/2007 1:00,0.074,NA
10/19/2007 2:00,0.074,NA
10/19/2007 3:00,0.114,NA
10/19/2007 4:00,0.164,NA
10/19/2007 5:00,0.194,NA
10/19/2007 6:00,0.234,NA
10/19/2007 7:00,0.264,NA
10/19/2007 8:00,0.224,NA
10/19/2007 9:00,0.154,NA
10/19/2007 10:00,0.104,NA
10/19/2007 11:00,0.084,NA
10/19/2007 12:00,0.074,NA
10/19/2007 13:00,0.074,NA
10/19/2007 14:00,0.074,NA
10/19/2007 15:00,0.074,NA
10/19/2007 16:00,0.094,NA
10/19/2007 17:00,0.134,NA
10/19/2007 18:00,0.174,NA
10/19/2007 19:00,0.194,NA
10/19/2007 20:00,0.204,NA
10/19/2007 21:00,0.154,NA
10/19/2007 22:00,0.104,NA
10/19/2007 23:00,0.074,NA
10/20/2007 0:00,0.064,NA
10/20/2007 1:00,0.054,NA
10/20/2007 2:00,0.054,NA
10/20/2007 3:00,0.054,NA
10/20/2007 4:00,0.054,NA
10/20/2007 5:00,0.094,NA
10/20/2007 6:00,0.134,NA
10/20/2007 7:00,0.164,NA
10/20/2007 8:00,0.154,NA
10/20/2007 9:00,0.104,NA
10/20/2007 10:00,0.074,NA
10/20/2007 11:00,0.054,NA
10/20/2007 12:00,0.034,NA
10/20/2007 13:00,0.014,NA
10/20/2007 14:00,0.004,NA
10/20/2007 15:00,0.004,NA
10/20/2007 16:00,0.004,NA
10/20/2007 17:00,0.004,NA
10/20/2007 18:00,0.054,NA
10/20/2007 19:00,0.094,NA
10/20/2007 20:00,0.114,NA
10/20/2007 21:00,0.124,NA
10/20/2007 22:00,0.074,NA
10/20/2007 23:00,0.054,NA
10/21/2007 0:00,0.014,NA
10/21/2007 1:00,-0.006,NA
10/21/2007 2:00,-0.016,NA
10/21/2007 3:00,-0.016,NA
10/21/2007 4:00,-0.016,NA
10/21/2007 5:00,-0.006,NA
10/21/2007 6:00,0.024,NA
10/21/2007 7:00,0.084,NA
10/21/2007 8:00,0.114,NA
10/21/2007 9:00,0.134,NA
10/21/2007 10:00,0.124,NA
10/21/2007 11:00,0.084,NA
10/21/2007 12:00,0.054,NA
10/21/2007 13:00,0.004,NA
10/21/2007 14:00,-0.016,NA
10/21/2007 15:00,-0.036,NA
10/21/2007 16:00,-0.036,NA
10/21/2007 17:00,-0.036,NA
10/21/2007 18:00,-0.016,NA
10/21/2007 19:00,0.024,NA
10/21/2007 20:00,0.074,NA
10/21/2007 21:00,0.114,NA
10/21/2007 22:00,0.114,NA
10/21/2007 23:00,0.084,NA
10/22/2007 0:00,0.044,NA
10/22/2007 1:00,-0.006,NA
10/22/2007 2:00,-0.026,NA
10/22/2007 3:00,-0.046,NA
10/22/2007 4:00,-0.046,NA
10/22/2007 5:00,-0.046,NA
10/22/2007 6:00,-0.036,NA
10/22/2007 7:00,-0.006,NA
10/22/2007 8:00,0.044,NA
10/22/2007 9:00,0.084,NA
10/22/2007 10:00,0.104,NA
10/22/2007 11:00,0.084,NA
10/22/2007 12:00,0.034,NA
10/22/2007 13:00,-0.016,NA
10/22/2007 14:00,-0.046,NA
10/22/2007 15:00,-0.066,NA
10/22/2007 16:00,-0.076,NA
10/22/2007 17:00,-0.076,NA
10/22/2007 18:00,-0.076,NA
10/22/2007 19:00,-0.066,NA
10/22/2007 20:00,-0.026,NA
10/22/2007 21:00,0.014,NA
10/22/2007 22:00,0.074,NA
10/22/2007 23:00,0.084,NA
10/23/2007 0:00,0.074,NA
10/23/2007 1:00,0.014,NA
10/23/2007 2:00,-0.026,NA
10/23/2007 3:00,-0.056,NA
10/23/2007 4:00,-0.076,NA
10/23/2007 5:00,-0.076,NA
10/23/2007 6:00,-0.076,NA
10/23/2007 7:00,-0.076,NA
10/23/2007 8:00,-0.046,NA
10/23/2007 9:00,0.004,NA
10/23/2007 10:00,0.064,NA
10/23/2007 11:00,0.074,NA
10/23/2007 12:00,0.074,NA
10/23/2007 13:00,0.014,NA
10/23/2007 14:00,-0.036,NA
10/23/2007 15:00,-0.086,NA
10/23/2007 16:00,-0.066,NA
10/23/2007 17:00,-0.086,NA
10/23/2007 18:00,-0.086,NA
10/23/2007 19:00,-0.086,NA
10/23/2007 20:00,-0.086,NA
10/23/2007 21:00,-0.046,NA
10/23/2007 22:00,0.014,NA
10/23/2007 23:00,0.064,NA
10/24/2007 0:00,0.094,NA
10/24/2007 1:00,0.094,NA
10/24/2007 2:00,0.034,NA
10/24/2007 3:00,-0.016,NA
10/24/2007 4:00,-0.056,NA
10/24/2007 5:00,-0.076,NA
10/24/2007 6:00,-0.076,NA
10/24/2007 7:00,-0.076,NA
10/24/2007 8:00,-0.076,NA
10/24/2007 9:00,-0.076,NA
10/24/2007 10:00,-0.036,NA
10/24/2007 11:00,0.014,NA
10/24/2007 12:00,0.074,NA
10/24/2007 13:00,0.104,NA
10/24/2007 14:00,0.094,NA
10/24/2007 15:00,0.024,NA
10/24/2007 16:00,-0.026,NA
10/24/2007 17:00,-0.066,NA
10/24/2007 18:00,-0.076,NA
10/24/2007 19:00,-0.086,NA
10/24/2007 20:00,-0.086,NA
10/24/2007 21:00,-0.076,NA
10/24/2007 22:00,-0.026,NA
10/24/2007 23:00,0.014,NA
10/25/2007 0:00,0.074,NA
10/25/2007 1:00,0.094,NA
10/25/2007 2:00,0.084,NA
10/25/2007 3:00,0.014,NA
10/25/2007 4:00,-0.036,NA
10/25/2007 5:00,-0.066,NA
10/25/2007 6:00,-0.076,NA
10/25/2007 7:00,-0.076,NA
10/25/2007 8:00,-0.086,NA
10/25/2007 9:00,-0.086,NA
10/25/2007 10:00,-0.086,NA
10/25/2007 11:00,-0.066,NA
10/25/2007 12:00,-0.006,NA
10/25/2007 13:00,0.034,NA
10/25/2007 14:00,0.084,NA
10/25/2007 15:00,0.064,NA
10/25/2007 16:00,-0.006,NA
10/25/2007 17:00,-0.056,NA
10/25/2007 18:00,-0.086,NA
10/25/2007 19:00,-0.086,NA
10/25/2007 20:00,-0.086,NA
10/25/2007 21:00,-0.086,NA
10/25/2007 22:00,-0.086,NA
10/25/2007 23:00,-0.046,NA
10/26/2007 0:00,0.014,NA
10/26/2007 1:00,0.054,NA
10/26/2007 2:00,0.094,NA
10/26/2007 3:00,0.054,NA
10/26/2007 4:00,-0.016,NA
10/26/2007 5:00,-0.036,NA
10/26/2007 6:00,-0.056,NA
10/26/2007 7:00,-0.066,NA
10/26/2007 8:00,-0.066,NA
10/26/2007 9:00,-0.076,NA
10/26/2007 10:00,-0.086,NA
10/26/2007 11:00,-0.076,NA
10/26/2007 12:00,0.014,NA
10/26/2007 13:00,0.094,NA
10/26/2007 14:00,0.134,NA
10/26/2007 15:00,0.134,NA
10/26/2007 16:00,0.114,NA
10/26/2007 17:00,0.074,NA
10/26/2007 18:00,0.034,NA
10/26/2007 19:00,0.164,NA
10/26/2007 20:00,0.224,NA
10/26/2007 21:00,0.254,NA
10/26/2007 22:00,0.174,NA
10/26/2007 23:00,0.144,NA
10/27/2007 0:00,0.174,NA
10/27/2007 1:00,0.254,NA
10/27/2007 2:00,0.294,NA
10/27/2007 3:00,0.294,NA
10/27/2007 4:00,0.234,NA
10/27/2007 5:00,0.154,NA
10/27/2007 6:00,0.124,NA
10/27/2007 7:00,0.104,NA
10/27/2007 8:00,0.094,NA
10/27/2007 9:00,0.094,NA
10/27/2007 10:00,0.094,NA
10/27/2007 11:00,0.094,NA
10/27/2007 12:00,0.094,NA
10/27/2007 13:00,0.134,NA
10/27/2007 14:00,0.174,NA
10/27/2007 15:00,0.214,NA
10/27/2007 16:00,0.224,NA
10/27/2007 17:00,0.184,NA
10/27/2007 18:00,0.124,NA
10/27/2007 19:00,0.094,NA
10/27/2007 20:00,0.074,NA
10/27/2007 21:00,0.074,NA
10/27/2007 22:00,0.074,NA
10/27/2007 23:00,0.074,NA
10/28/2007 0:00,0.094,NA
10/28/2007 1:00,0.134,NA
10/28/2007 2:00,0.184,NA
10/28/2007 3:00,0.214,NA
10/28/2007 4:00,0.224,NA
10/28/2007 5:00,0.164,NA
10/28/2007 6:00,0.104,NA
10/28/2007 7:00,0.074,NA
10/28/2007 8:00,0.034,NA
10/28/2007 9:00,0.014,NA
10/28/2007 10:00,0.004,NA
10/28/2007 11:00,0.004,NA
10/28/2007 12:00,0.004,NA
10/28/2007 13:00,0.024,NA
10/28/2007 14:00,0.084,NA
10/28/2007 15:00,0.124,NA
10/28/2007 16:00,0.154,NA
10/28/2007 17:00,0.174,NA
10/28/2007 18:00,0.144,NA
10/28/2007 19:00,0.094,NA
10/28/2007 20:00,0.044,NA
10/28/2007 21:00,0.014,NA
10/28/2007 22:00,0.004,NA
10/28/2007 23:00,0.004,NA
10/29/2007 0:00,0.024,NA
10/29/2007 1:00,0.084,NA
10/29/2007 2:00,0.134,NA
10/29/2007 3:00,0.174,NA
10/29/2007 4:00,0.204,NA
10/29/2007 5:00,0.394,NA
10/29/2007 6:00,0.364,NA
10/29/2007 7:00,0.284,NA
10/29/2007 8:00,0.174,NA
10/29/2007 9:00,0.124,NA
10/29/2007 10:00,0.104,NA
10/29/2007 11:00,0.094,NA
10/29/2007 12:00,0.094,NA
