date,well_ft
2007-10-01-01,1.612
2007-10-01-02,1.622
2007-10-01-03,1.642
2007-10-01-04,1.652
2007-10-01-05,1.652
2007-10-01-06,1.682
2007-10-01-07,1.862
2007-10-01-08,1.932
2007-10-01-09,2.042
2007-10-01-10,2.122
2007-10-01-11,2.132
2007-10-01-12,2.142
2007-10-01-13,2.162
2007-10-01-14,2.212
2007-10-01-15,2.232
2007-10-01-16,2.232
2007-10-01-17,2.232
2007-10-01-18,2.232
2007-10-01-19,2.232
2007-10-01-20,2.232
2007-10-01-21,2.232
2007-10-01-22,2.232
2007-10-01-23,2.232
2007-10-02-00,2.282
2007-10-02-01,2.312
2007-10-02-02,2.318411117
2007-10-02-03,2.323927757
2007-10-02-04,2.333480518
2007-10-02-05,2.352
2007-10-02-06,2.422
2007-10-02-07,2.492
2007-10-02-08,2.512
2007-10-02-09,2.522
2007-10-02-10,2.522
2007-10-02-11,2.522
2007-10-02-12,2.522
2007-10-02-13,2.512
2007-10-02-14,2.502
2007-10-02-15,2.492
2007-10-02-16,2.482
2007-10-02-17,2.472
2007-10-02-18,2.452
2007-10-02-19,2.442
2007-10-02-20,2.432
2007-10-02-21,2.422
2007-10-02-22,2.412
2007-10-02-23,2.412
2007-10-03-00,2.402
2007-10-03-01,2.392
2007-10-03-02,2.392
2007-10-03-03,2.392
2007-10-03-04,2.382
2007-10-03-05,2.382
2007-10-03-06,2.352
2007-10-03-07,2.342
2007-10-03-08,2.332
2007-10-03-09,2.322
2007-10-03-10,2.312
2007-10-03-11,2.312
2007-10-03-12,2.302
2007-10-03-13,2.292
2007-10-03-14,2.282
2007-10-03-15,2.272
2007-10-03-16,2.262
2007-10-03-17,2.252
2007-10-03-18,2.242
2007-10-03-19,2.222
2007-10-03-20,2.212
2007-10-03-21,2.202
2007-10-03-22,2.192
2007-10-03-23,2.182
2007-10-04-00,2.182
2007-10-04-01,2.172
2007-10-04-02,2.162
2007-10-04-03,2.152
2007-10-04-04,2.142
2007-10-04-05,2.132
2007-10-04-06,2.122
2007-10-04-07,2.112
2007-10-04-08,2.102
2007-10-04-09,2.092
2007-10-04-10,2.092
2007-10-04-11,2.072
2007-10-04-12,2.072
2007-10-04-13,2.072
2007-10-04-14,2.052
2007-10-04-15,2.042
2007-10-04-16,2.032
2007-10-04-17,2.032
2007-10-04-18,2.022
2007-10-04-19,2.012
2007-10-04-20,2.002
2007-10-04-21,2.002
2007-10-04-22,1.992
2007-10-04-23,1.992
2007-10-05-00,1.992
2007-10-05-01,1.982
2007-10-05-02,1.982
2007-10-05-03,1.982
2007-10-05-04,1.982
2007-10-05-05,1.982
2007-10-05-06,1.972
2007-10-05-07,1.972
2007-10-05-08,1.972
2007-10-05-09,1.952
2007-10-05-10,1.952
2007-10-05-11,1.932
2007-10-05-12,1.922
2007-10-05-13,1.912
2007-10-05-14,1.892
2007-10-05-15,1.892
2007-10-05-16,1.882
2007-10-05-17,1.872
2007-10-05-18,1.862
2007-10-05-19,1.852
2007-10-05-20,1.852
2007-10-05-21,1.852
2007-10-05-22,1.852
2007-10-05-23,1.842
2007-10-06-00,1.832
2007-10-06-01,1.832
2007-10-06-02,1.822
2007-10-06-03,1.812
2007-10-06-04,1.812
2007-10-06-05,1.812
2007-10-06-06,1.802
2007-10-06-07,1.802
2007-10-06-08,1.802
2007-10-06-09,1.792
2007-10-06-10,1.782
2007-10-06-11,1.782
2007-10-06-12,1.782
2007-10-06-13,1.772
2007-10-06-14,1.772
2007-10-06-15,1.762
2007-10-06-16,1.762
2007-10-06-17,1.752
2007-10-06-18,1.742
2007-10-06-19,1.732
2007-10-06-20,1.722
2007-10-06-21,1.692
2007-10-06-22,1.692
2007-10-06-23,1.692
2007-10-07-00,1.687218508
2007-10-07-01,1.68249262
2007-10-07-02,1.677821208
2007-10-07-03,1.673203144
2007-10-07-04,1.668637303
2007-10-07-05,1.664122556
2007-10-07-06,1.659657778
2007-10-07-07,1.655241839
2007-10-07-08,1.650873615
2007-10-07-09,1.646551977
2007-10-07-10,1.642275799
2007-10-07-11,1.638043953
2007-10-07-12,1.633855312
2007-10-07-13,1.62970875
2007-10-07-14,1.625603139
2007-10-07-15,1.621537353
2007-10-07-16,1.617510263
2007-10-07-17,1.613520744
2007-10-07-18,1.609567667
2007-10-07-19,1.605649906
2007-10-07-20,1.601766335
2007-10-07-21,1.597915825
2007-10-07-22,1.59409725
2007-10-07-23,1.590309482
2007-10-08-00,1.586551395
2007-10-08-01,1.582821862
2007-10-08-02,1.579119755
2007-10-08-03,1.575443947
2007-10-08-04,1.571793312
2007-10-08-05,1.568166722
2007-10-08-06,1.56456305
2007-10-08-07,1.56098117
2007-10-08-08,1.557419953
2007-10-08-09,1.553878274
2007-10-08-10,1.550355004
2007-10-08-11,1.546849018
2007-10-08-12,1.543359187
2007-10-08-13,1.539884385
2007-10-08-14,1.536423484
2007-10-08-15,1.532975358
2007-10-08-16,1.52953888
2007-10-08-17,1.526112922
2007-10-08-18,1.522696358
2007-10-08-19,1.51928806
2007-10-08-20,1.515886901
2007-10-08-21,1.512491754
2007-10-08-22,1.509101493
2007-10-08-23,1.50571499
2007-10-09-00,1.502331117
2007-10-09-01,1.498948749
2007-10-09-02,1.495566758
2007-10-09-03,1.492184016
2007-10-09-04,1.488799397
2007-10-09-05,1.485411774
2007-10-09-06,1.482020019
2007-10-09-07,1.478623006
2007-10-09-08,1.475219608
2007-10-09-09,1.471808697
2007-10-09-10,1.468389146
2007-10-09-11,1.464959828
2007-10-09-12,1.461519617
2007-10-09-13,1.458067385
