date,well_ft,forecast
10/1/2007 1:00,1.635,NA
10/1/2007 2:00,1.625,NA
10/1/2007 3:00,1.625,NA
10/1/2007 4:00,1.615,NA
10/1/2007 5:00,1.615,NA
10/1/2007 6:00,1.615,NA
10/1/2007 7:00,1.605,NA
10/1/2007 8:00,1.605,NA
10/1/2007 9:00,1.595,NA
10/1/2007 10:00,1.595,NA
10/1/2007 11:00,1.595,NA
10/1/2007 12:00,1.595,NA
10/1/2007 13:00,1.595,NA
10/1/2007 14:00,1.585,NA
10/1/2007 15:00,1.585,NA
10/1/2007 16:00,1.585,NA
10/1/2007 17:00,1.585,NA
10/1/2007 18:00,1.585,NA
10/1/2007 19:00,1.575,NA
10/1/2007 20:00,1.575,NA
10/1/2007 21:00,1.575,NA
10/1/2007 22:00,1.575,NA
10/1/2007 23:00,1.575,NA
10/2/2007 0:00,1.565,NA
10/2/2007 1:00,1.565,NA
10/2/2007 2:00,1.575,NA
10/2/2007 3:00,1.595,NA
10/2/2007 4:00,1.635,NA
10/2/2007 5:00,1.665,NA
10/2/2007 6:00,1.705,NA
10/2/2007 7:00,1.725,NA
10/2/2007 8:00,1.745,NA
10/2/2007 9:00,1.775,NA
10/2/2007 10:00,1.805,NA
10/2/2007 11:00,1.825,NA
10/2/2007 12:00,1.835,NA
10/2/2007 13:00,1.835,NA
10/2/2007 14:00,1.845,NA
10/2/2007 15:00,1.845,NA
10/2/2007 16:00,1.845,NA
10/2/2007 17:00,1.865,NA
10/2/2007 18:00,1.885,NA
10/2/2007 19:00,1.885,NA
10/2/2007 20:00,1.885,NA
10/2/2007 21:00,1.885,NA
10/2/2007 22:00,1.885,NA
10/2/2007 23:00,1.885,NA
10/3/2007 0:00,1.875,NA
10/3/2007 1:00,1.875,NA
10/3/2007 2:00,1.875,NA
10/3/2007 3:00,1.875,NA
10/3/2007 4:00,1.865,NA
10/3/2007 5:00,1.865,NA
10/3/2007 6:00,1.875,NA
10/3/2007 7:00,1.925,NA
10/3/2007 8:00,1.935,NA
10/3/2007 9:00,1.935,NA
10/3/2007 10:00,1.925,NA
10/3/2007 11:00,1.915,NA
10/3/2007 12:00,1.905,NA
10/3/2007 13:00,1.895,NA
10/3/2007 14:00,1.885,NA
10/3/2007 15:00,1.875,NA
10/3/2007 16:00,1.875,NA
10/3/2007 17:00,1.865,NA
10/3/2007 18:00,1.855,NA
10/3/2007 19:00,1.855,NA
10/3/2007 20:00,1.845,NA
10/3/2007 21:00,1.835,NA
10/3/2007 22:00,1.825,NA
10/3/2007 23:00,1.825,NA
10/4/2007 0:00,1.815,NA
10/4/2007 1:00,1.805,NA
10/4/2007 2:00,1.805,NA
10/4/2007 3:00,1.795,NA
10/4/2007 4:00,1.795,NA
10/4/2007 5:00,1.785,NA
10/4/2007 6:00,1.785,NA
10/4/2007 7:00,1.775,NA
10/4/2007 8:00,1.775,NA
10/4/2007 9:00,1.765,NA
10/4/2007 10:00,1.755,NA
10/4/2007 11:00,1.745,NA
10/4/2007 12:00,1.735,NA
10/4/2007 13:00,1.715,NA
10/4/2007 14:00,1.715,NA
10/4/2007 15:00,1.705,NA
10/4/2007 16:00,1.695,NA
10/4/2007 17:00,1.695,NA
10/4/2007 18:00,1.685,NA
10/4/2007 19:00,1.675,NA
10/4/2007 20:00,1.675,NA
10/4/2007 21:00,1.665,NA
10/4/2007 22:00,1.655,NA
10/4/2007 23:00,1.655,NA
