date,well_ft,forecast
10/1/2007 1:00,5.802,NA
10/1/2007 2:00,5.822,NA
10/1/2007 3:00,5.862,NA
10/1/2007 4:00,5.892,NA
10/1/2007 5:00,5.892,NA
10/1/2007 6:00,5.902,NA
10/1/2007 7:00,5.882,NA
10/1/2007 8:00,5.882,NA
10/1/2007 9:00,5.882,NA
10/1/2007 10:00,5.862,NA
10/1/2007 11:00,5.872,NA
10/1/2007 12:00,5.882,NA
10/1/2007 13:00,5.892,NA
10/1/2007 14:00,5.892,NA
10/1/2007 15:00,5.912,NA
10/1/2007 16:00,5.922,NA
10/1/2007 17:00,5.932,NA
10/1/2007 18:00,5.922,NA
10/1/2007 19:00,5.922,NA
10/1/2007 20:00,5.912,NA
10/1/2007 21:00,5.892,NA
10/1/2007 22:00,5.902,NA
10/1/2007 23:00,5.902,NA
10/2/2007 0:00,5.912,NA
10/2/2007 1:00,5.912,NA
10/2/2007 2:00,5.922,NA
10/2/2007 3:00,5.932,NA
10/2/2007 4:00,5.932,NA
10/2/2007 5:00,5.932,NA
10/2/2007 6:00,5.932,NA
10/2/2007 7:00,5.922,NA
10/2/2007 8:00,5.922,NA
10/2/2007 9:00,5.922,NA
10/2/2007 10:00,5.922,NA
10/2/2007 11:00,5.912,NA
10/2/2007 12:00,5.912,NA
10/2/2007 13:00,5.932,NA
10/2/2007 14:00,5.932,NA
10/2/2007 15:00,5.932,NA
10/2/2007 16:00,5.942,NA
10/2/2007 17:00,5.942,NA
10/2/2007 18:00,5.932,NA
10/2/2007 19:00,5.922,NA
10/2/2007 20:00,5.922,NA
10/2/2007 21:00,5.912,NA
10/2/2007 22:00,5.902,NA
10/2/2007 23:00,5.892,NA
10/3/2007 0:00,5.892,NA
10/3/2007 1:00,5.892,NA
10/3/2007 2:00,5.902,NA
10/3/2007 3:00,5.892,NA
10/3/2007 4:00,5.892,NA
10/3/2007 5:00,5.892,NA
10/3/2007 6:00,5.872,NA
10/3/2007 7:00,5.862,NA
10/3/2007 8:00,5.852,NA
10/3/2007 9:00,5.842,NA
10/3/2007 10:00,5.842,NA
10/3/2007 11:00,5.832,NA
10/3/2007 12:00,5.822,NA
10/3/2007 13:00,5.822,NA
10/3/2007 14:00,5.842,NA
10/3/2007 15:00,5.842,NA
10/3/2007 16:00,5.852,NA
10/3/2007 17:00,5.852,NA
10/3/2007 18:00,5.842,NA
10/3/2007 19:00,5.842,NA
10/3/2007 20:00,5.822,NA
10/3/2007 21:00,5.822,NA
10/3/2007 22:00,5.802,NA
10/3/2007 23:00,5.792,NA
10/4/2007 0:00,5.782,NA
10/4/2007 1:00,5.782,NA
10/4/2007 2:00,5.782,NA
10/4/2007 3:00,5.782,NA
10/4/2007 4:00,5.782,NA
10/4/2007 5:00,5.772,NA
10/4/2007 6:00,5.772,NA
10/4/2007 7:00,5.772,NA
10/4/2007 8:00,5.752,NA
10/4/2007 9:00,5.732,NA
10/4/2007 10:00,5.722,NA
10/4/2007 11:00,5.702,NA
10/4/2007 12:00,5.692,NA
10/4/2007 13:00,5.692,NA
10/4/2007 14:00,5.692,NA
10/4/2007 15:00,5.702,NA
10/4/2007 16:00,5.712,NA
10/4/2007 17:00,5.722,NA
10/4/2007 18:00,5.722,NA
10/4/2007 19:00,5.702,NA
10/4/2007 20:00,5.692,NA
10/4/2007 21:00,5.682,NA
10/4/2007 22:00,5.662,NA
10/4/2007 23:00,5.662,NA
10/5/2007 0:00,5.662,NA
10/5/2007 1:00,5.662,NA
10/5/2007 2:00,5.662,NA
10/5/2007 3:00,5.672,NA
10/5/2007 4:00,5.682,NA
10/5/2007 5:00,5.682,NA
10/5/2007 6:00,5.682,NA
10/5/2007 7:00,5.672,NA
10/5/2007 8:00,5.662,NA
10/5/2007 9:00,5.652,NA
10/5/2007 10:00,5.642,NA
10/5/2007 11:00,5.622,NA
10/5/2007 12:00,5.622,NA
10/5/2007 13:00,5.622,NA
10/5/2007 14:00,5.642,NA
10/5/2007 15:00,5.642,NA
10/5/2007 16:00,5.652,NA
10/5/2007 17:00,5.652,NA
10/5/2007 18:00,5.662,NA
10/5/2007 19:00,5.652,NA
10/5/2007 20:00,5.662,NA
10/5/2007 21:00,5.652,NA
10/5/2007 22:00,5.652,NA
10/5/2007 23:00,5.632,NA
10/6/2007 0:00,5.632,NA
10/6/2007 1:00,5.622,NA
10/6/2007 2:00,5.622,NA
10/6/2007 3:00,5.632,NA
10/6/2007 4:00,5.652,NA
10/6/2007 5:00,5.662,NA
10/6/2007 6:00,5.662,NA
10/6/2007 7:00,5.672,NA
10/6/2007 8:00,5.682,NA
10/6/2007 9:00,5.672,NA
10/6/2007 10:00,5.662,NA
10/6/2007 11:00,5.652,NA
10/6/2007 12:00,5.642,NA
10/6/2007 13:00,5.642,NA
10/6/2007 14:00,5.632,NA
10/6/2007 15:00,5.622,NA
10/6/2007 16:00,5.652,NA
10/6/2007 17:00,5.652,NA
10/6/2007 18:00,5.662,NA
10/6/2007 19:00,5.662,NA
10/6/2007 20:00,5.662,NA
10/6/2007 21:00,5.662,NA
10/6/2007 22:00,5.652,NA
10/6/2007 23:00,5.652,NA
10/7/2007 0:00,5.642,NA
10/7/2007 1:00,5.642,NA
10/7/2007 2:00,5.632,NA
10/7/2007 3:00,5.632,NA
10/7/2007 4:00,5.622,NA
10/7/2007 5:00,5.632,NA
10/7/2007 6:00,5.632,NA
10/7/2007 7:00,5.632,NA
10/7/2007 8:00,5.632,NA
10/7/2007 9:00,5.622,NA
10/7/2007 10:00,5.622,NA
10/7/2007 11:00,5.602,NA
10/7/2007 12:00,5.602,NA
10/7/2007 13:00,5.602,NA
10/7/2007 14:00,5.592,NA
10/7/2007 15:00,5.582,NA
10/7/2007 16:00,5.582,NA
10/7/2007 17:00,5.582,NA
10/7/2007 18:00,5.582,NA
10/7/2007 19:00,5.582,NA
10/7/2007 20:00,5.582,NA
