date,well_ft,forecast
10/10/2007 1:00,2.732,NA
10/10/2007 2:00,2.732,NA
10/10/2007 3:00,2.732,NA
10/10/2007 4:00,2.712,NA
10/10/2007 5:00,2.692,NA
10/10/2007 6:00,2.692,NA
10/10/2007 7:00,2.692,NA
10/10/2007 8:00,2.702,NA
10/10/2007 9:00,2.732,NA
10/10/2007 10:00,2.752,NA
10/10/2007 11:00,2.752,NA
10/10/2007 12:00,2.752,NA
10/10/2007 13:00,2.752,NA
10/10/2007 14:00,2.752,NA
10/10/2007 15:00,2.742,NA
10/10/2007 16:00,2.722,NA
10/10/2007 17:00,2.712,NA
10/10/2007 18:00,2.712,NA
10/10/2007 19:00,2.712,NA
10/10/2007 20:00,2.712,NA
10/10/2007 21:00,2.712,NA
10/10/2007 22:00,2.722,NA
10/10/2007 23:00,2.732,NA
10/11/2007 0:00,2.732,NA
10/11/2007 1:00,2.732,NA
10/11/2007 2:00,2.732,NA
10/11/2007 3:00,2.722,NA
10/11/2007 4:00,2.682,NA
10/11/2007 5:00,2.682,NA
10/11/2007 6:00,2.682,NA
10/11/2007 7:00,2.682,NA
10/11/2007 8:00,2.602,NA
10/11/2007 9:00,2.572,NA
10/11/2007 10:00,2.622,NA
10/11/2007 11:00,2.622,NA
10/11/2007 12:00,2.622,NA
10/11/2007 13:00,2.622,NA
10/11/2007 14:00,2.612,NA
10/11/2007 15:00,2.582,NA
10/11/2007 16:00,2.562,NA
10/11/2007 17:00,2.542,NA
10/11/2007 18:00,2.532,NA
10/11/2007 19:00,2.532,NA
10/11/2007 20:00,2.532,NA
10/11/2007 21:00,2.532,NA
10/11/2007 22:00,2.532,NA
10/11/2007 23:00,2.532,NA
10/12/2007 0:00,2.532,NA
10/12/2007 1:00,2.532,NA
10/12/2007 2:00,2.532,NA
10/12/2007 3:00,2.522,NA
10/12/2007 4:00,2.482,NA
10/12/2007 5:00,2.472,NA
10/12/2007 6:00,2.472,NA
10/12/2007 7:00,2.472,NA
10/12/2007 8:00,2.462,NA
10/12/2007 9:00,2.462,NA
10/12/2007 10:00,2.472,NA
10/12/2007 11:00,2.472,NA
10/12/2007 12:00,2.472,NA
