well,start,end,missing,mean,stdev,model,mape,aic
F-179,10/1/2007 1:00,4/9/2018 10:00,955,0.705,0.542,"ARIMA(3,1,2)",8.283734,-528825.6
F-45,10/1/2007 1:00,3/26/2018 10:00,4713,0.7433549,0.5962941,"ARIMA(2,1,3)",25.608497,-538151
F-319,10/1/2007 1:00,4/9/2018 11:00,2023,0.8241199,0.4026112,"ARIMA(1,1,1)",11.5601,-458312.5
G-561_T,10/5/2007 12:00,6/12/2018 11:00,254,0.7810715,0.7144919,"ARIMA(3,1,4) ",6.124763,-631819.4
G-580A,10/1/2007 0:00,4/9/2018 11:00,4493,1.034888,0.4806365,"ARIMA(2,1,1) ",4.970671,-577721.4
G-852,10/1/2007 1:00,4/9/2018 13:00,3623,0.7304612,0.5281037,"ARIMA(2,1,10) ",0.7191504,-485360
G-860,10/1/2007 1:00,6/4/2018 12:00,3212,1.059227,0.4091875,"ARIMA(2,1,4)",53.6364481,-503660.4
G-1220_T,10/1/2007 1:00,4/21/2018 8:00,17581,0.298563,0.6766855,"ARIMA(2,1,2) ",14.762082,-269522.9
G-1260_T,10/1/2007 1:00,6/8/2018 11:00,508,3.73096024,1.29048063,"ARIMA(2,1,2) ",5.1192875,-599694.5
G-2147_T,10/10/2007 0:00,6/8/2018 9:00,970,3.1613921,0.89362327,"ARIMA(2,1,2) ",4.4038583,-529915.4
G-2866_T,10/1/2007 1:00,6/8/2018 9:00,258,5.0042402,1.49562637,"ARIMA(5,1,3) ",3.6464095,-533378.6
G-3549,10/1/2007 1:00,6/12/2018 23:00,857,0.26216849,0.32570976,"ARIMA(2,1,2) ",10.260623,-498286.9
PB-1680_T,10/19/2007 1:00,6/7/2018 11:00,8931,1.030623618,1.27729434,"ARIMA(2,1,2) ",5.00868,-523870.3
