"","time","well_hour","well_impute","forecast"
"1",2007-10-10 00:00:00,4.272,4.272,NA
"2",2007-10-10 01:00:00,4.272,4.272,NA
"3",2007-10-10 02:00:00,4.272,4.272,NA
"4",2007-10-10 03:00:00,4.272,4.272,NA
"5",2007-10-10 04:00:00,4.272,4.272,NA
"6",2007-10-10 05:00:00,4.272,4.272,NA
"7",2007-10-10 06:00:00,4.262,4.262,NA
"8",2007-10-10 07:00:00,4.262,4.262,NA
"9",2007-10-10 08:00:00,4.252,4.252,NA
"10",2007-10-10 09:00:00,4.252,4.252,NA
"11",2007-10-10 10:00:00,4.252,4.252,NA
"12",2007-10-10 11:00:00,4.252,4.252,NA
"13",2007-10-10 12:00:00,4.252,4.252,NA
"14",2007-10-10 13:00:00,4.252,4.252,NA
"15",2007-10-10 14:00:00,4.252,4.252,NA
"16",2007-10-10 15:00:00,4.242,4.242,NA
"17",2007-10-10 16:00:00,4.242,4.242,NA
"18",2007-10-10 17:00:00,4.242,4.242,NA
"19",2007-10-10 18:00:00,4.232,4.232,NA
"20",2007-10-10 19:00:00,4.232,4.232,NA
"21",2007-10-10 20:00:00,4.222,4.222,NA
"22",2007-10-10 21:00:00,4.222,4.222,NA
"23",2007-10-10 22:00:00,4.222,4.222,NA
"24",2007-10-10 23:00:00,4.222,4.222,NA
"25",2007-10-11 00:00:00,4.222,4.222,NA
"26",2007-10-11 01:00:00,4.222,4.222,NA
"27",2007-10-11 02:00:00,4.222,4.222,NA
"28",2007-10-11 03:00:00,4.222,4.222,NA
"29",2007-10-11 04:00:00,4.222,4.222,NA
"30",2007-10-11 05:00:00,4.212,4.212,NA
"31",2007-10-11 06:00:00,4.212,4.212,NA
"32",2007-10-11 07:00:00,4.212,4.212,NA
"33",2007-10-11 08:00:00,4.212,4.212,NA
"34",2007-10-11 09:00:00,4.202,4.202,NA
"35",2007-10-11 10:00:00,4.202,4.202,NA
"36",2007-10-11 11:00:00,4.202,4.202,NA
"37",2007-10-11 12:00:00,4.202,4.202,NA
"38",2007-10-11 13:00:00,4.202,4.202,NA
